"","dept_e","visible_minority","yes","no","notSure","anscount","A.psychologically.healthy.workplace","A.safe.and.healthy.workplace","Anti.racism","Discrimination","Diversity.and.inclusion","Duty.to.accommodate","Employee.Engagement","Empowerment","Ethical.workplace","Harassment","Immediate.supervisor","Job.fit.and.development","Organizational.goals","Organizational.performance","Pay.or.other.compensation.issues","Performance.management","Physical.environment.and.equipment","Senior.management","Use.of.official.languages","Work.life.balance.and.workload","Work.related.stress","Support.to.resolve.pay.or.other.compensation.issues"
"1","Administrative Tribunals Support Service of Canada","Black",34,33,34,18,81.25,85.3333333333333,62,69.5,89.3333333333333,36.6666666666667,81.7142857142857,86.25,71.25,77.5,88.3333333333333,39.375,91.5,21.1111111111111,19,90,90.6666666666667,77.75,94.5,75.25,10.6296296296296,NA
"2","Agriculture and Agri-Food Canada","Black",23,48,29,87,77.8,83.8181818181818,56.3333333333333,16.0909090909091,78.5,52.8333333333333,86,78.75,64,34.2727272727273,80.6666666666667,39.25,91.5,24.2222222222222,26.3333333333333,82,85.6666666666667,80.5,84.5,66.5,11.4814814814815,24.5
"3","Atlantic Canada Opportunities Agency","Black",28,44,28,11,81,80.3333333333333,79,70,86,42.6666666666667,92.7142857142857,81.75,75.75,55,80,33.625,95,22.1111111111111,18.5,83.3333333333333,88.6666666666667,84.75,80.5,76.5,11.962962962963,NA
"4","Canada Border Services Agency","Black",32,33,35,277,69.4,77.2727272727273,42.5,32.25,71.1666666666667,49.1666666666667,67.2857142857143,63.75,59.5,36,77.6666666666667,35.125,77.5,30.3333333333333,38.6666666666667,70.6666666666667,79.3333333333333,57.5,81,67.75,15.1111111111111,38
"5","Canada Economic Development for Quebec Regions","Black",48,31,21,10,92.5,90.25,66.3333333333333,88.5,90.5,70,81.8571428571429,77.6666666666667,67.5,54,89.6666666666667,41.5,95,32.375,50,93.3333333333333,89.5,75.25,90.5,81.75,12.2,NA
"6","Canada Energy Regulator","Black",29,14,57,14,61,78.5555555555556,24.3333333333333,31.3333333333333,51.1666666666667,35,47.4285714285714,43,46.5,32.6666666666667,59.3333333333333,30.25,75,34,9,43,75.6666666666667,44.25,53,64,34,NA
"7","Canada Revenue Agency","Black",33,28,39,1653,74,85.4545454545455,48.5,19.8571428571429,81,51.3333333333333,81.2857142857143,67.75,70,25.1860465116279,82.6666666666667,40.375,89,23.1111111111111,27.3333333333333,80,86,75.75,85,72,12.5555555555556,50.5
"8","Canada School of Public Service","Black",48,17,34,28,69.5,76.8888888888889,60.3333333333333,35,70.5,42.6666666666667,64,68.75,55.25,49,74.6666666666667,38.75,68,41.1111111111111,26.5,67,66.6666666666667,58,84.5,59,22.037037037037,NA
"9","Canadian Food Inspection Agency","Black",37,28,35,129,74,82.2727272727273,44.25,30.0666666666667,76,46.3333333333333,74.2857142857143,65.75,67.75,37.3157894736842,77.6666666666667,38.25,88.5,26,31,73,82,68.25,84,65.75,14.037037037037,47
"10","Canadian Heritage","Black",33,21,46,49,76,87.3333333333333,63,20.3636363636364,75.1666666666667,36,78.2857142857143,76.5,68,32.6,84.3333333333333,33.625,86.5,26.5555555555556,19.5,83,75.6666666666667,77.75,84,69.25,13.4074074074074,NA
"11","Canadian Human Rights Commission","Black",35,39,26,12,68.75,70.2222222222222,57,45.5,57.6666666666667,46,68.1428571428571,77.5,57.75,44,75.3333333333333,42.625,87,25.4444444444444,10,74.3333333333333,67,61,71.5,62.75,26.3333333333333,NA
"12","Canadian Institutes of Health Research","Black",28,31,41,22,83.5,78.7777777777778,36.6666666666667,61.5,81.8333333333333,37.6666666666667,83.2857142857143,74.25,59,70,93,43.875,91.5,34.3333333333333,11.5,91.6666666666667,87.6666666666667,68.25,74.5,73.5,15.8148148148148,NA
