"","dept_e","DisabilityStatus","Yes","No","Notsure","anscount","Q118","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Use of official languages","Work-life balance and workload","Work-related stress","Support to resolve pay or other compensation issues"
"1","Administrative Tribunals Support Service of Canada","Person with a disability",10,50,39,28,"1",81.25,91.5555555555556,83.6666666666667,57.3333333333333,82.3333333333333,67.3333333333333,75.2857142857143,75,69.25,51,82,40.25,81.5,25.3333333333333,29,75.6666666666667,81.3333333333333,86,83.5,67.25,14.5555555555556,NA
"2","Agriculture and Agri-Food Canada","Person with a disability",25,40,35,283,"1",68.8,77.5454545454545,73,25.5217391304348,73.1666666666667,64.1666666666667,70,68.75,58.75,35.0277777777778,75,35.75,75.5,31.2222222222222,31.6666666666667,64.6666666666667,77.6666666666667,59.5,83.5,65.5,19.7407407407407,34
"3","Atlantic Canada Opportunities Agency","Person with a disability",25,42,33,45,"1",83,89,84.3333333333333,58,81,63.8333333333333,85.5714285714286,77.25,71,68.5,85,38.75,89,30.6666666666667,7,74.6666666666667,90.6666666666667,77,88,73.25,13.5185185185185,NA
"4","Canada Border Services Agency","Person with a disability",30,32,38,677,"1",56.8,62.7272727272727,46.5,20.0222222222222,57.5,63.1666666666667,55.5714285714286,50.25,44.75,26.936170212766,64.6666666666667,34.25,61.5,40.1111111111111,39.6666666666667,55.6666666666667,66,39,76.5,60.5,25.7037037037037,23.5
"5","Canada Economic Development for Quebec Regions","Person with a disability",27,33,40,18,"1",60.25,75.1111111111111,65.3333333333333,48.6666666666667,68.8333333333333,30.3333333333333,65.2857142857143,49.75,49.5,59,72,32.625,59.5,50.5555555555556,29.5,64.6666666666667,80.3333333333333,47.25,75,54.75,24.1111111111111,NA
"6","Canada Energy Regulator","Person with a disability",27,41,32,41,"1",69.25,86.4444444444444,64.6666666666667,18.4285714285714,65.5,62.8333333333333,60.4285714285714,64,51.5,40,75,33.125,73,39.4444444444444,18.5,66.3333333333333,83.6666666666667,42.5,74.5,65.75,22.4074074074074,NA
"7","Canada Revenue Agency","Person with a disability",21,42,37,3016,"1",69.6,78.4545454545455,59.5,18.7872340425532,76.5,67,73.5714285714286,65,64.25,24.6808510638298,76.3333333333333,37.25,80.5,31.3333333333333,30.6666666666667,71.6666666666667,79,63.75,81.5,68.75,17.4814814814815,33.5
"8","Canada School of Public Service","Person with a disability",43,31,26,46,"1",76.4,79.5454545454545,72.6666666666667,44,76.1666666666667,67.8333333333333,63.5714285714286,70.75,62.5,45,76.6666666666667,38.75,75,37.1111111111111,29.6666666666667,70.3333333333333,72.6666666666667,55.75,87,69.75,23.8888888888889,30
"9","Canadian Food Inspection Agency","Person with a disability",28,34,37,264,"1",69.4,74,69.3333333333333,30.8125,67.8333333333333,66.8333333333333,65.4285714285714,61.5,58.75,34.7916666666667,73.6666666666667,34.375,74,37.5555555555556,33.6666666666667,64,75.3333333333333,56.5,82,64,21.1111111111111,19
"10","Canadian Grain Commission","Person with a disability",24,38,38,24,"1",67,79.3333333333333,67.6666666666667,35.3333333333333,72.6666666666667,43.6666666666667,70.1428571428571,64.25,68,52,72,35.125,80,31,16,66.6666666666667,76.3333333333333,67,83.5,61.5,16.962962962963,NA
