"","dept_e","gender","Yes","No","Notsure","anscount","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Support to resolve pay or other compensation issues","Use of official languages","Work-life balance and workload","Work-related stress"
"1","Administrative Tribunals Support Service of Canada","Female",24,39,36,272,80.2,85.6363636363636,81.3333333333333,49.3333333333333,88.3333333333333,49.6666666666667,84,83.5,75.25,41.6666666666667,84,40.75,90.5,24.2222222222222,33.3333333333333,83.3333333333333,86.6666666666667,82.25,50.5,90,70,11.4814814814815
"2","Agriculture and Agri-Food Canada","Female",24,45,32,1843,75.4,82.5454545454545,65,22.1538461538462,82.5,53.8333333333333,80.1428571428571,75.75,66,24.7209302325581,81,36.125,79.5,28.8888888888889,26,75.3333333333333,83.6666666666667,68.25,35.5,85.5,68.75,13
"3","Atlantic Canada Opportunities Agency","Female",16,48,36,315,85.2,90.2727272727273,88.6666666666667,51,88.8333333333333,50.6,88.2857142857143,85.75,73.5,48.3333333333333,90.6666666666667,40.125,91,25,6.5,85.3333333333333,90.6666666666667,86.75,NA,88,74.5,9.03703703703704
"4","Canada Border Services Agency","Female",26,37,37,4074,68,72.7272727272727,55.5,17.9574468085106,73.1666666666667,52.8333333333333,70,67,58,23.125,76.6666666666667,35,74,34.7777777777778,35.6666666666667,69.3333333333333,78.3333333333333,55.5,32.5,81.5,65.5,16.6296296296296
"5","Canada Economic Development for Quebec Regions","Female",27,42,31,171,75.2,86.4545454545455,82,46.6666666666667,87.6666666666667,35.3333333333333,76.1428571428571,70,61.25,21.4615384615385,86.3333333333333,37.875,82.5,44.5555555555556,28.6666666666667,77.3333333333333,84.6666666666667,70.25,29.5,92.5,69.5,18.4444444444444
"6","Canada Energy Regulator","Female",22,48,31,246,76.2,88.6363636363636,73.6666666666667,27.9333333333333,76.6666666666667,34,74.1428571428571,73,61.75,40.2777777777778,80,35.875,82,32.1111111111111,28,72.3333333333333,88,59.75,42.5,70.5,67.75,16.037037037037
"7","Canada Revenue Agency","Female",19,48,34,18499,78.4,85.3636363636364,64,17.468085106383,86.1666666666667,56.1666666666667,82.7142857142857,74.5,73.25,22.4893617021277,82.6666666666667,39.5,87.5,26.1111111111111,27.6666666666667,80,86,74.5,38.5,85.5,72.5,11.7037037037037
"8","Canada School of Public Service","Female",37,29,35,328,82,84.5454545454545,83,23.7,84,53.1666666666667,73.7142857142857,76.75,70.5,34.3846153846154,86,37.75,78,36.6666666666667,28.3333333333333,79.3333333333333,81,67,35.5,85,73,15.5555555555556
"9","Canadian Food Inspection Agency","Female",21,44,35,2591,75.6,79.6363636363636,60.75,20.9487179487179,81.8333333333333,52.1666666666667,76.1428571428571,72.25,68.25,25.1162790697674,81.6666666666667,36,81,31.6666666666667,29.6666666666667,75,82.3333333333333,65,23.5,84.5,69,14.0740740740741
"10","Canadian Grain Commission","Female",22,44,34,179,77,82.1818181818182,78.6666666666667,68.5,84.6666666666667,46.8,83.1428571428571,79.25,71,42.2777777777778,79.6666666666667,38.5,87,25.5555555555556,28,81,79.3333333333333,71,49.5,84.5,66.75,12.1111111111111
