"","dept_e","IndegenousStatus","Yes","No","Notsure","anscount","Q116","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Use of official languages","Work-life balance and workload","Work-related stress","Support to resolve pay or other compensation issues"
"1","Administrative Tribunals Support Service of Canada","Indigenous",24,34,43,12,"1",94,90.6666666666667,89.3333333333333,49.6666666666667,91.5,46.6666666666667,96.4285714285714,85.5,87.75,66,92,45,100,31,25.5,97.3333333333333,93.6666666666667,91.5,100,76.5,12.9259259259259,NA
"2","Agriculture and Agri-Food Canada","Indigenous",26,40,34,132,"1",76.8,81.0909090909091,78.6666666666667,30.5263157894737,85.5,63.3333333333333,77,75.25,70,43.3684210526316,84.3333333333333,39.25,81.5,31.6666666666667,33.6666666666667,79.6666666666667,80.6666666666667,69,83,70.5,13.6296296296296,41.5
"3","Atlantic Canada Opportunities Agency","Indigenous",16,45,39,13,"1",86.25,97.3333333333333,94.6666666666667,49.6666666666667,96.1666666666667,41.3333333333333,96.7142857142857,96,77.25,75,97.3333333333333,37.5,92,23.8888888888889,12.5,87,94.6666666666667,92.25,83.5,68,10.037037037037,NA
"4","Canada Border Services Agency","Indigenous",30,31,38,286,"1",60.4,64,48.25,23.0606060606061,61.8333333333333,50.6666666666667,61,57.75,50.5,30.1794871794872,67,35.375,67,40.4444444444444,39.3333333333333,61,67.3333333333333,43.75,77,61,22.2222222222222,18.5
"5","Canada Energy Regulator","Indigenous",41,20,39,15,"1",51.25,76.8888888888889,47.6666666666667,37,54.5,32.3333333333333,55.2857142857143,56.75,43.75,26.5,61,30.5,56,38,19,55.6666666666667,79,42.75,65.5,63.75,24.3333333333333,NA
"6","Canada Revenue Agency","Indigenous",22,44,33,992,"1",75.6,82.2727272727273,61,22.7142857142857,81.8333333333333,56,78.2857142857143,71.5,70.5,25.3023255813953,79,38.375,84,28,30.6666666666667,75,83,70.5,81.5,70.75,13.962962962963,33.5
"7","Canada School of Public Service","Indigenous",38,31,32,26,"1",80.8,85,87,72,82.6666666666667,41.3333333333333,84.7142857142857,84.5,76.25,74,85.3333333333333,37.125,87.5,36,28,85.3333333333333,81.3333333333333,74.25,92,76.75,14.2222222222222,NA
"8","Canadian Food Inspection Agency","Indigenous",30,36,35,105,"1",75.2,72.3636363636364,69,45,74.1666666666667,50.8333333333333,68.7142857142857,64.75,59.5,31.5714285714286,73.3333333333333,33.25,73,35.4444444444444,34.6666666666667,70,77.6666666666667,50.25,75.5,65.5,16.2222222222222,17
"9","Canadian Grain Commission","Indigenous",8,47,45,13,"1",86.25,80.8888888888889,79.3333333333333,51.3333333333333,88.1666666666667,41,91.1428571428571,84.25,73,71,92,37.625,76.5,23,8.5,87.3333333333333,69.3333333333333,56.5,80.5,71,11.0740740740741,NA
"10","Canadian Heritage","Indigenous",29,36,35,42,"1",74.6,79.7272727272727,80,46,82.3333333333333,52.2,82.7142857142857,76.5,72,41.3333333333333,87.3333333333333,37.375,78.5,33.2222222222222,33,81.3333333333333,67.3333333333333,79,90,71.75,15.6666666666667,24
"11","Canadian Nuclear Safety Commission","Indigenous",19,38,44,16,"1",71,71.6666666666667,57.6666666666667,47,57.5,41.3333333333333,73.1428571428571,56.25,54.75,54.5,70,33.625,74.5,38.2222222222222,11.5,64.6666666666667,83.3333333333333,54.75,72.5,81.25,16.2222222222222,NA
"12","Canadian Radio-television and TeleCommunications Commission","Indigenous",7,68,25,15,"1",83.25,82,95.3333333333333,49.6666666666667,94.3333333333333,44.6666666666667,84.4285714285714,90,85.5,71.5,91,44.25,97,14.8888888888889,20.5,89,89,85.25,93.5,75.25,8.77777777777778,NA
"13","Communications Security Establishment Canada","Indigenous",39,35,26,23,"1",75,87,79.3333333333333,67.5,79,39.3333333333333,77.1428571428571,71,80.75,72,86.6666666666667,41.625,80.5,43.6666666666667,40,72.6666666666667,67,74.25,74.5,62,18.5555555555556,NA
"14","Correctional Service Canada","Indigenous",16,47,37,835,"1",53.2,55.7272727272727,46,20.6976744186047,56.6666666666667,49.6666666666667,58.7142857142857,50.25,46,26.5957446808511,63.3333333333333,35.625,62,39.1111111111111,39,56,63.6666666666667,43.75,68,53.5,24.2962962962963,18.5
"15","Courts Administration Service","Indigenous",19,46,34,14,"1",56.75,70.4444444444444,77.3333333333333,58,72.5,32.6666666666667,74.7142857142857,69.75,62.25,64.5,58.3333333333333,36,82.5,33.3333333333333,3.5,74.6666666666667,73,64.75,97,66.5,18,NA
"16","Crown-Indigenous Relations and Northern Affairs Canada","Indigenous",26,35,39,191,"1",76,79.9090909090909,62,29.6428571428571,79.8333333333333,55.8333333333333,77,74,68.5,41.3157894736842,83.3333333333333,38.875,77.5,35.1111111111111,31.3333333333333,77.6666666666667,84,71.75,86,68.25,14.1851851851852,33
"17","Department of Justice","Indigenous",19,38,43,91,"1",72.75,79.8888888888889,68.6666666666667,16,75.8333333333333,59.6666666666667,79,72,59.5,32.4444444444444,79,37.25,79,31.8888888888889,36,77.3333333333333,73.3333333333333,72.75,85.5,66,18.037037037037,47.5
"18","Department of National Defence","Indigenous",24,39,37,490,"1",64.4,69.4545454545455,55.25,23.0294117647059,69.6666666666667,49.8333333333333,70,65,59,30.3571428571429,69.3333333333333,34.125,69.5,36.4444444444444,33,61.6666666666667,75.3333333333333,54,71,68.25,18.1851851851852,25
"19","Employment and Social Development Canada","Indigenous",27,34,38,772,"1",76.4,79.5454545454545,61.25,23.0833333333333,81.8333333333333,55.3333333333333,77.1428571428571,68.75,69,25.3953488372093,76.6666666666667,39.125,82.5,32.1111111111111,34.6666666666667,74.6666666666667,85.3333333333333,69,86,65.75,14.8888888888889,29.5
"20","Environment and Climate Change Canada","Indigenous",26,34,40,121,"1",81.2,84.1818181818182,81.6666666666667,26.4615384615385,83.5,57.3333333333333,80.5714285714286,77,73.25,33.25,84,40.125,79,30.2222222222222,36.3333333333333,81,79.6666666666667,68,87.5,69.75,13.6666666666667,22
"21","Fisheries and Oceans Canada","Indigenous",17,48,35,320,"1",65.4,68.3636363636364,49,33.9545454545455,68.1666666666667,50,69.4285714285714,63.5,57,32.275,71.6666666666667,37,68.5,37.8888888888889,35,63.3333333333333,74,50.25,73,57.75,16.8888888888889,27.5
"22","Global Affairs Canada","Indigenous",34,25,41,94,"1",70.4,74.1818181818182,76,42.3333333333333,76.3333333333333,49.8333333333333,71.7142857142857,71.25,61.75,35.7222222222222,78,34,71.5,37.7777777777778,32.3333333333333,70.6666666666667,75.3333333333333,58.75,81.5,65.5,18,22.5
