"","dept_e","gender","Yes","No","Notsure","anscount","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Support to resolve pay or other compensation issues","Use of official languages","Work-life balance and workload","Work-related stress"
"1","Administrative Tribunals Support Service of Canada","Male",19,44,38,148,87.2,88.3636363636364,85.6666666666667,54.3333333333333,91.5,52,86,85.5,80.75,41,90.3333333333333,42.375,89.5,21.2222222222222,26,87.6666666666667,84.6666666666667,81.75,45,92,73.75,9.2962962962963
"2","Agriculture and Agri-Food Canada","Male",20,46,33,1348,73.8,79.3636363636364,63.75,22.9230769230769,81.3333333333333,51.3333333333333,78,72.5,67,25.2558139534884,80.6666666666667,35.375,77.5,30.3333333333333,29.6666666666667,73,82.3333333333333,64.25,34.5,84.5,65.75,12.6666666666667
"3","Atlantic Canada Opportunities Agency","Male",25,47,29,162,80.2,87.8181818181818,88,55.6666666666667,88.3333333333333,46,85.1428571428571,82.5,77.25,51.6666666666667,89.3333333333333,39.5,88,26,7,81,89,77.75,NA,86,73.25,9.48148148148148
"4","Canada Border Services Agency","Male",26,39,35,3651,62,64.0909090909091,56,18.1489361702128,68.1666666666667,47.5,61.8571428571429,56.5,54.75,24.6875,70.3333333333333,32.625,62.5,40,38.3333333333333,61.3333333333333,68.3333333333333,43.5,27,79.5,60,19.4814814814815
"5","Canada Economic Development for Quebec Regions","Male",29,39,32,113,69,79.8181818181818,83.3333333333333,50.6666666666667,84.3333333333333,32.3333333333333,69,62.75,72.75,21.4615384615385,84.6666666666667,33.75,71.5,48.5555555555556,28.3333333333333,73.3333333333333,78.6666666666667,62.75,41,87.5,64,20.8148148148148
"6","Canada Energy Regulator","Male",22,46,33,129,69.2,81.1818181818182,76,27,78.6666666666667,32.3333333333333,74.1428571428571,72.25,65.5,44.1666666666667,78.6666666666667,34.625,74,33.5555555555556,25.3333333333333,69.6666666666667,80.6666666666667,58.5,45.5,71,69,16.8148148148148
"7","Canada Revenue Agency","Male",22,43,35,11572,76.4,83,64.75,18.3191489361702,85.5,53.3333333333333,79.4285714285714,72,74.25,23.4468085106383,84.3333333333333,38.625,83.5,27.8888888888889,28.6666666666667,78.3333333333333,83.3333333333333,71.25,37.5,84,71.25,11.8888888888889
"8","Canada School of Public Service","Male",39,27,34,159,78,81,82,23.6,82.5,51.6666666666667,72,76,71.75,41.6923076923077,86.3333333333333,38.75,76,34.1111111111111,34.6666666666667,74,77,63,40,80.5,70.75,14.9259259259259
"9","Canadian Food Inspection Agency","Male",22,42,35,1479,75.2,77.6363636363636,62.5,20.4615384615385,80.6666666666667,48.6666666666667,74.7142857142857,69.5,68.25,25.3023255813953,80,35.5,77.5,32.1111111111111,33,72.3333333333333,80.6666666666667,61.5,26.5,83,67,13.6296296296296
"10","Canadian Grain Commission","Male",13,53,34,177,73.2,78,75.6666666666667,72.5,79.5,45.8,79.5714285714286,73,71.75,35.5,78,36.875,82,23.4444444444444,31.6666666666667,75.3333333333333,79.6666666666667,65.25,53,80.5,60.5,13.1111111111111
"11","Canadian Heritage","Male",25,41,34,378,80.4,81.7272727272727,85.6666666666667,28.9285714285714,87.3333333333333,55,83,81.5,75.75,42.1176470588235,88,37.75,86.5,30.7777777777778,33,84.6666666666667,75.6666666666667,75.25,44,92.5,71,14.2592592592593
"12","Canadian Human Rights Commission","Male",20,57,23,52,78.4,82.0909090909091,90.6666666666667,80,88.8333333333333,39.3333333333333,82.4285714285714,84.5,74.75,76,82.3333333333333,38.5,89.5,25.1111111111111,26.6666666666667,79.6666666666667,77,79,38.5,92,69,11.4444444444444
"13","Canadian Institutes of Health Research","Male",27,45,28,108,81.4,84.1818181818182,79.3333333333333,54,89.8333333333333,49.6666666666667,86.7142857142857,81.25,70.75,54.6666666666667,86.6666666666667,39.75,87,32,34,81.6666666666667,84.3333333333333,72.5,66.5,75,72,11.2592592592593
"14","Canadian Nuclear Safety Commission","Male",28,42,31,342,78.2,87,81.3333333333333,28.1428571428571,82.1666666666667,50.1666666666667,79.2857142857143,75,66,35.4761904761905,84.3333333333333,33.75,84.5,29.2222222222222,30,76,85.3333333333333,66.5,76,77,71.25,12.2962962962963
"15","Canadian Radio-television and TeleCommunications Commission","Male",19,47,34,179,78.8,83.7272727272727,79.6666666666667,13.2727272727273,84.1666666666667,51.6666666666667,82.4285714285714,80.75,69.5,35.2,87,39.625,86,22.7777777777778,27.6666666666667,79.3333333333333,83.6666666666667,76.75,35,86,72.25,11.5925925925926
"16","Canadian Security Intelligence Service","Male",40,24,36,698,65.4,56.1818181818182,58.25,29.3529411764706,75.3333333333333,45.5,58.2857142857143,58.5,56.75,31.1052631578947,76,29,65,42.7777777777778,35,60.3333333333333,63,34.5,53,78.5,64.25,17.4814814814815
"17","Canadian Space Agency","Male",26,41,33,272,79.6,84.1818181818182,83.3333333333333,53.3333333333333,87.5,47,84.1428571428571,80,72.25,39.1764705882353,87.3333333333333,36.875,85,32.8888888888889,33.3333333333333,81,78.6666666666667,70.25,59.5,93.5,69.75,13.8888888888889
"18","Canadian Transportation Agency","Male",23,41,36,117,83.2,87.1818181818182,82.6666666666667,73.5,87.8333333333333,50.6,79.5714285714286,77,73.25,15.5384615384615,86.3333333333333,39.25,87,26.7777777777778,20.3333333333333,82.6666666666667,88,77,49.5,89.5,71.5,11.8148148148148
"19","Communications Security Establishment Canada","Male",22,47,30,921,83,83.7272727272727,86,29.9375,89.5,54.5,85.4285714285714,84,80.5,34.0416666666667,87.3333333333333,40.625,85,27,32.3333333333333,77.6666666666667,81.6666666666667,69.25,44.5,82,75.5,10.6296296296296
"20","Correctional Service Canada","Male",19,46,35,3251,51.8,52.8181818181818,46.75,20,57.6666666666667,47.6666666666667,52.7142857142857,46.25,46.25,26.7083333333333,62,32.5,56.5,40.6666666666667,40,52.3333333333333,61,40,18,73,51,22.9259259259259
"21","Courts Administration Service","Male",31,34,34,131,71.8,72.3636363636364,80,14.4444444444444,76.6666666666667,55.1666666666667,67.5714285714286,67.75,62,43.5294117647059,76,33.75,76.5,30.1111111111111,23,69,78.3333333333333,57,29,86.5,63,15.8148148148148
"22","Crown-Indigenous Relations and Northern Affairs Canada","Male",37,30,33,393,72.2,77.3636363636364,60,35.0666666666667,82.1666666666667,52.6666666666667,71,75,63.75,34.7826086956522,85.3333333333333,37.625,75.5,37.3333333333333,30,77,75.3333333333333,67.75,28.5,82.5,67,17.2962962962963
