"","dept_e","IndegenousStatus","Yes","No","Notsure","anscount","Q116","A psychologically healthy workplace","A safe and healthy workplace","Anti-racism","Discrimination","Diversity and inclusion","Duty to accommodate","Employee Engagement","Empowerment","Ethical workplace","Harassment","Immediate supervisor","Job fit and development","Organizational goals","Organizational performance","Pay or other compensation issues","Performance management","Physical environment and equipment","Senior management","Use of official languages","Work-life balance and workload","Work-related stress","Support to resolve pay or other compensation issues"
"1","Administrative Tribunals Support Service of Canada","Non-Indigenous",22,41,37,411,"2",84,88.5555555555556,82.3333333333333,31,89.3333333333333,35.3333333333333,84.5714285714286,84.5,77,74,86,41.375,90,22.6666666666667,17.5,84.3333333333333,86,81.75,90.5,71,10.5555555555556,NA
"2","Agriculture and Agri-Food Canada","Non-Indigenous",22,45,33,3107,"2",74.4,81,78.3333333333333,28,81.6666666666667,52.3333333333333,79.1428571428571,73.75,65.75,37.9473684210526,80.3333333333333,35.5,78.5,29.3333333333333,27,74.3333333333333,83,66.25,85,67.25,12.962962962963,34.5
"3","Atlantic Canada Opportunities Agency","Non-Indigenous",19,48,33,469,"2",85,91.1111111111111,88,18.08,88.5,35,87.1428571428571,84.5,74.5,72.5,90.3333333333333,39.875,90,25.4444444444444,6.5,83.6666666666667,89.6666666666667,83.25,87.5,74.25,9.14814814814815,NA
"4","Canada Border Services Agency","Non-Indigenous",26,38,36,7530,"2",65.2,68.6363636363636,56.5,23.2424242424242,71,50.3333333333333,66,62,56.25,28.2564102564103,73.3333333333333,33.625,68.5,37.3333333333333,36.6666666666667,65.6666666666667,73.6666666666667,49.75,81.5,62.75,17.9259259259259,30
"5","Canada Energy Regulator","Non-Indigenous",21,48,31,366,"2",75,87.1111111111111,75,43.3333333333333,78.3333333333333,33.3333333333333,75,73.25,63.25,55.5,79.6666666666667,35.25,80.5,32.3333333333333,11.5,72,86,59.75,70.5,67.75,15.962962962963,NA
"6","Canada Revenue Agency","Non-Indigenous",20,46,34,29254,"2",77.4,84.2727272727273,64.75,22.4285714285714,85.6666666666667,55.1666666666667,81.1428571428571,73.5,73.5,24.7209302325581,83.3333333333333,39,86,27,28,79.3333333333333,84.6666666666667,73,85,72,11.7407407407407,38.5
"7","Canada School of Public Service","Non-Indigenous",38,28,34,462,"2",80.2,85.1,81.6666666666667,68,83.5,37.6666666666667,72.2857142857143,76,71,68,85.6666666666667,38.125,76,36,25.5,76.6666666666667,79,65.25,83,71.75,15.4444444444444,NA
"8","Canadian Food Inspection Agency","Non-Indigenous",21,43,35,4000,"2",75.6,78.8181818181818,78,47.6666666666667,81.5,51.5,75.5714285714286,71.75,68,32.1428571428571,80.6666666666667,35.875,80,31.8888888888889,30.6666666666667,74,81.6666666666667,63.75,84.5,68,13.8518518518519,24.5
"9","Canadian Grain Commission","Non-Indigenous",18,50,33,347,"2",75,82.5555555555556,77,10.5555555555556,81.6666666666667,32,81.2857142857143,76.25,71.25,66.5,78,37.875,85,24.5555555555556,21,77.3333333333333,80.3333333333333,68.75,82.5,63.5,12.5925925925926,NA
"10","Canadian Heritage","Non-Indigenous",26,41,33,1263,"2",80.6,83.3636363636364,86.3333333333333,50,88.6666666666667,47.6,85.7142857142857,81,75,50,87.3333333333333,39.75,86.5,31.1111111111111,30.6666666666667,84,77.6666666666667,77.5,93.5,72.75,14.0740740740741,42
"11","Canadian Nuclear Safety Commission","Non-Indigenous",22,43,35,700,"2",80.8,88.7272727272727,85,72.5,84,35.6666666666667,81.5714285714286,79.5,67.25,67,87,36.625,87.5,28.7777777777778,8,80,87.6666666666667,70,80.5,72,12.1481481481481,NA
"12","Canadian Radio-television and TeleCommunications Commission","Non-Indigenous",19,46,34,374,"2",81.25,86.7777777777778,79.3333333333333,21.6315789473684,85.5,33.6666666666667,84.4285714285714,80.75,69,64,86.3333333333333,39.875,87.5,23.4444444444444,23,81.6666666666667,85.3333333333333,77,85.5,74.5,11.037037037037,NA
"13","Communications Security Establishment Canada","Non-Indigenous",24,44,31,1527,"2",82.75,86.2222222222222,84.6666666666667,75,88.8333333333333,35,85.7142857142857,83.75,78.5,71.5,87,40.375,86.5,27.6666666666667,24.5,78,82,69.25,82.5,74.75,11.4444444444444,NA
"14","Correctional Service Canada","Non-Indigenous",19,47,34,7715,"2",57.6,59.0909090909091,51,20.4418604651163,63.6666666666667,50.3333333333333,59.2857142857143,53.25,50.5,26.3829787234043,68.3333333333333,33.875,65,38.3333333333333,37.3333333333333,60,65.6666666666667,45.5,76.5,56.25,21.1851851851852,18.5
"15","Courts Administration Service","Non-Indigenous",34,32,34,431,"2",68,72.7777777777778,74.6666666666667,58.5,75.5,33,70.2857142857143,68.75,58.5,55.5,76.3333333333333,34.75,77,30.5555555555556,27.6666666666667,71,74,57.25,89.5,63,17.8518518518519,42.5
"16","Crown-Indigenous Relations and Northern Affairs Canada","Non-Indigenous",36,28,36,1070,"2",73.2,78.6363636363636,59,25.4285714285714,81.8333333333333,53,71.5714285714286,73.75,62.75,36.8421052631579,82.3333333333333,37.75,77,37.2222222222222,29.3333333333333,74.6666666666667,76.6666666666667,67.5,85,66.5,17,30.5
"17","Department of Justice","Non-Indigenous",19,44,37,2837,"2",74.25,83,78,19.6111111111111,81.6666666666667,52.6666666666667,78.7142857142857,73.25,65.75,35.1111111111111,81,37.25,81,31,32.3333333333333,76.6666666666667,77.3333333333333,71.5,87,62.75,17.4074074074074,19
"18","Department of National Defence","Non-Indigenous",22,46,32,13297,"2",71.4,75.9090909090909,60.75,22.3235294117647,77,51.3333333333333,75.7142857142857,70.5,65.75,26.3333333333333,76.3333333333333,34.625,75.5,33.6666666666667,29.6666666666667,69.6666666666667,78.6666666666667,61.25,79,69.75,13.1481481481481,28
"19","Employment and Social Development Canada","Non-Indigenous",26,38,36,18133,"2",75.8,80.5454545454545,61.5,21.0555555555556,84.1666666666667,54.6666666666667,77.5714285714286,68.25,70.75,25.3255813953488,79.3333333333333,39,82,31.7777777777778,32.3333333333333,75.3333333333333,85.3333333333333,70.75,87.5,66.25,14.5555555555556,28.5
"20","Environment and Climate Change Canada","Non-Indigenous",23,41,35,4428,"2",78.6,80,82,21.6153846153846,85.5,52.1666666666667,80.7142857142857,76.5,74,32.6666666666667,85.3333333333333,38.25,80,32.2222222222222,28.3333333333333,79.6666666666667,80.3333333333333,67,85.5,70.75,13.5555555555556,25
"21","Fisheries and Oceans Canada","Non-Indigenous",24,44,33,6205,"2",69.6,72,62,28.4090909090909,79.5,50.3333333333333,76.4285714285714,72.25,63.75,27.325,78,37.5,75.5,34.2222222222222,32.3333333333333,71,80,59.25,78,62.25,15.1851851851852,30
"22","Global Affairs Canada","Non-Indigenous",37,33,30,4444,"2",67.4,74.8181818181818,76.3333333333333,40,78.3333333333333,50.6666666666667,73.4285714285714,72,63,34.8888888888889,81.3333333333333,32.625,77,35.7777777777778,31.3333333333333,72.6666666666667,74.3333333333333,61.75,81,63,18.3333333333333,25
"23","Health Canada","Non-Indigenous",25,38,37,5085,"2",77.2,82.8181818181818,78.3333333333333,47.3333333333333,84.3333333333333,53.3333333333333,79.8571428571429,76,67.75,31.4705882352941,83.3333333333333,38,83.5,31.5555555555556,28,79,81,70.5,87,68.5,14.8148148148148,29.5
"24","Immigration and Refugee Board of Canada","Non-Indigenous",22,37,41,971,"2",71.5,78.1111111111111,75.6666666666667,63,82,35.3333333333333,75.1428571428571,69.5,66.25,62.5,79.3333333333333,36.125,82,30.5555555555556,29,73,81,63.25,88.5,62.5,17.5555555555556,NA
"25","Immigration, Refugees and Citizenship Canada","Non-Indigenous",27,37,36,5410,"2",72.6,80.0909090909091,80.3333333333333,48.6666666666667,84.1666666666667,51.3333333333333,79.2857142857143,74,70,34.7647058823529,80.3333333333333,38.625,83,31.6666666666667,30.3333333333333,77,80,69.25,85.5,65,14.9259259259259,27
"26","Impact Assessment Agency of Canada","Non-Indigenous",30,31,39,374,"2",80.25,82.7777777777778,82.6666666666667,69.5,87,34.6666666666667,80.1428571428571,78.25,70.25,66.5,84.6666666666667,38.125,83,33.3333333333333,21.5,81.6666666666667,79.3333333333333,72.5,84,70,16.0740740740741,NA
"27","Indigenous Services Canada","Non-Indigenous",28,35,37,2426,"2",71.6,78.9090909090909,59.25,22.7714285714286,79.6666666666667,52.5,74,73.25,61.75,25.0444444444444,79.6666666666667,36.5,79.5,35.7777777777778,32.3333333333333,73,78.3333333333333,66.5,82,64.5,16.1481481481481,29.5
"28","Infrastructure Canada","Non-Indigenous",34,25,41,534,"2",77,83.5555555555556,80.3333333333333,68,87.1666666666667,36.6666666666667,76.7142857142857,79,69,33.1904761904762,86,39.625,81.5,35.8888888888889,31.5,80.6666666666667,87.3333333333333,72.5,86,61.75,17.8518518518519,NA
"29","Innovation, Science and Economic Development Canada","Non-Indigenous",26,39,35,3514,"2",77.8,81.2727272727273,80,48.3333333333333,84.3333333333333,44.8,78.4285714285714,73.75,67.75,31.8421052631579,83,37.75,82,30,30.6666666666667,78,78.6666666666667,68.75,86.5,67.75,13.1111111111111,36.5
"30","Library and Archives Canada","Non-Indigenous",19,45,36,677,"2",75,82.3333333333333,76,64.5,84.5,33.3333333333333,77.2857142857143,72.25,64.75,62,83,34.75,80.5,31.5555555555556,16.5,78.6666666666667,76.3333333333333,59.5,93,72,14.6296296296296,NA
"31","Micro-organizations combined","Non-Indigenous",26,40,35,849,"2",79.6,87.0909090909091,79,50,85.6666666666667,47.2,81.8571428571429,81,73.5,35.6153846153846,85,38.25,87,23.1111111111111,30.3333333333333,80.6666666666667,86.3333333333333,75.75,89,73.5,11.1481481481481,50.5
"32","National Research Council Canada","Non-Indigenous",13,58,29,2535,"2",76.8,84.5454545454545,63.25,23.9565217391304,84.5,33.3333333333333,82.7142857142857,77,67.5,67.5,82,35.75,81.5,28,5,76,83.6666666666667,72.25,82,68.25,11.2592592592593,NA
"33","Natural Resources Canada","Non-Indigenous",26,41,33,2771,"2",76.2,83.1818181818182,78.3333333333333,45.6666666666667,83.1666666666667,44.4,78.1428571428571,75.25,65,31.5,82.6666666666667,36.125,77.5,30.3333333333333,29.3333333333333,75.3333333333333,82.3333333333333,68,84,68,13.2222222222222,23
"34","Parks Canada","Non-Indigenous",22,42,36,3073,"2",72.4,74.0909090909091,62.5,29.0769230769231,79,48.3333333333333,78.5714285714286,74.5,64.75,35.0454545454545,80,35.625,78,33.4444444444444,32.3333333333333,72,78.3333333333333,62.25,79,66.75,14.3703703703704,22.5
"35","Privy Council Office","Non-Indigenous",36,30,35,739,"2",76,80.7777777777778,80.3333333333333,70.5,84.5,33.6666666666667,80.8571428571429,78.75,66,66.5,83.3333333333333,37.375,81,27.7777777777778,22.5,77,80.3333333333333,75.25,82,63.75,13.6296296296296,NA
"36","Public Health Agency of Canada","Non-Indigenous",32,30,38,1401,"2",72,79.2222222222222,75,42.3333333333333,81.1666666666667,35.3333333333333,76.5714285714286,74.75,63.25,41.6666666666667,79.6666666666667,37.375,78,37.2222222222222,28.3333333333333,73,78.6666666666667,64.5,79.5,63,18.3333333333333,24.5
"37","Public Prosecution Service of Canada","Non-Indigenous",16,47,36,607,"2",71,81.3333333333333,74.6666666666667,42.6666666666667,76.3333333333333,33.6666666666667,75.8571428571429,69.5,62.5,41.6666666666667,76,35.75,79,29.5555555555556,22.5,72,72.3333333333333,65.75,82,62,19.5185185185185,NA
"38","Public Safety Canada","Non-Indigenous",43,27,30,763,"2",73.8,80.8181818181818,79,61.5,82.3333333333333,35.6666666666667,74.1428571428571,73.75,65.75,57,83.3333333333333,36.25,77.5,37.7777777777778,28.3333333333333,76,77.6666666666667,68,81,65.75,16.5185185185185,26
"39","Public Service","Non-Indigenous",24,42,35,179198,"2",73.6,78.6363636363636,61,17.3265306122449,81.1666666666667,52.6666666666667,76.5714285714286,71.5,67,23.5833333333333,80,37.125,79.5,31.6666666666667,30,74.3333333333333,80.6666666666667,66,84,67.5,14.2962962962963,29.5
"40","Public Service Commission of Canada","Non-Indigenous",39,32,30,542,"2",80.75,84.8888888888889,83,74,86.8333333333333,39.6666666666667,76.4285714285714,74.75,75,71.5,85.3333333333333,37.125,84,35,30.5,79.3333333333333,76,69.75,90,71.5,15.5555555555556,NA
"41","Public Services and Procurement Canada","Non-Indigenous",23,44,33,10741,"2",79.6,84,64.75,29.4117647058824,86,53.8333333333333,80,75,71.5,34.3478260869565,83.3333333333333,39.25,82,31,27.3333333333333,78.3333333333333,87.3333333333333,73,90.5,71.5,12.4074074074074,32
"42","Royal Canadian Mounted Police","Non-Indigenous",25,39,36,4072,"2",72.2,75.6363636363636,58,26.4375,75.8333333333333,50.1666666666667,76.8571428571429,72.25,62,35.7826086956522,75.6666666666667,35.625,78.5,29.2222222222222,33,73,81,62.5,77,68.25,13.4814814814815,27.5
"43","Shared Services Canada","Non-Indigenous",25,38,37,3919,"2",78.2,82.9090909090909,81.3333333333333,27.3846153846154,84.8333333333333,52,75.5714285714286,75.5,71.25,37.9473684210526,83.6666666666667,38,79.5,34.4444444444444,32.6666666666667,76,84.3333333333333,66.75,86.5,67.5,13,34
"44","Statistical Survey Operations","Non-Indigenous",20,39,41,963,"2",62.25,77.1111111111111,71.3333333333333,66,73.6666666666667,31.3333333333333,68,47.25,59.25,62,59.6666666666667,31.125,76,24.3333333333333,14,64.3333333333333,77.6666666666667,61,87.5,58.5,12.8518518518519,NA
"45","Statistics Canada","Non-Indigenous",25,41,34,3589,"2",77,82.8181818181818,81.3333333333333,51.3333333333333,87.3333333333333,55,80.4285714285714,78.25,72.5,50.6666666666667,85.3333333333333,38.875,85,29.4444444444444,9.5,80.6666666666667,80.6666666666667,72.5,89.5,72,12.6666666666667,NA
"46","Transport Canada","Non-Indigenous",24,40,36,4051,"2",76.8,83.6363636363636,81.3333333333333,18.9333333333333,83.5,44.6,80,75.75,69,34.5238095238095,82,37,80,29.7777777777778,33.6666666666667,75.6666666666667,86.3333333333333,71.25,85,71,12.7407407407407,22
"47","Treasury Board of Canada Secretariat","Non-Indigenous",38,28,34,1775,"2",77.6,80.7272727272727,81.6666666666667,69.5,85.3333333333333,35.3333333333333,79.2857142857143,79,71.75,48,87,38.875,82.5,34,28,78.3333333333333,76.3333333333333,72.25,85,66,15.2592592592593,29
"48","Veterans Affairs Canada","Non-Indigenous",22,44,34,2250,"2",80.4,85.6363636363636,83.6666666666667,50.6666666666667,85.8333333333333,56,80.7142857142857,73.5,73,37.8333333333333,83.6666666666667,38.875,86,30.4444444444444,32,78.3333333333333,83.3333333333333,73.25,89,69,12.6296296296296,38.5
"49","Western Economic Diversification Canada","Non-Indigenous",22,40,37,289,"2",85,91,85.3333333333333,54.3333333333333,91.5,53.5,89.5714285714286,87,82.5,80.5,90.3333333333333,41.25,91.5,27.6666666666667,8.5,86.6666666666667,89,83.75,80,71.75,12.2962962962963,NA
